date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2026-03-26, 15:21:12	0 Hz	0 W	1E3 mbar	2,5E2 mbar
2026-03-26, 15:21:14	0 Hz	0 W	1E3 mbar	2,4E2 mbar
2026-03-26, 15:21:16	0 Hz	0 W	1E3 mbar	2,4E2 mbar
2026-03-26, 15:21:18	0 Hz	0 W	1E3 mbar	2,3E2 mbar
2026-03-26, 15:21:20	0 Hz	0 W	1E3 mbar	2,3E2 mbar
2026-03-26, 15:21:22	0 Hz	0 W	1E3 mbar	2,2E2 mbar
2026-03-26, 15:21:24	0 Hz	0 W	1E3 mbar	2,2E2 mbar
2026-03-26, 15:21:26	0 Hz	0 W	1E3 mbar	2,2E2 mbar
2026-03-26, 15:21:28	0 Hz	0 W	1E3 mbar	2,2E2 mbar
2026-03-26, 15:21:30	0 Hz	0 W	1E3 mbar	2,2E2 mbar
2026-03-26, 15:21:32	0 Hz	0 W	1E3 mbar	2,2E2 mbar
2026-03-26, 15:21:34	0 Hz	0 W	1E3 mbar	2,2E2 mbar
2026-03-26, 15:21:36	0 Hz	0 W	1E3 mbar	2,2E2 mbar
2026-03-26, 15:21:38	0 Hz	0 W	1E3 mbar	2,2E2 mbar
2026-03-26, 15:21:40	0 Hz	0 W	1E3 mbar	2,2E2 mbar
2026-03-26, 15:21:42	0 Hz	0 W	1E3 mbar	2,2E2 mbar
2026-03-26, 15:21:44	0 Hz	0 W	1E3 mbar	2,2E2 mbar
2026-03-26, 15:21:46	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:21:48	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:21:50	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:21:52	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:21:54	0 Hz	0 W	1E3 mbar	2,2E2 mbar
2026-03-26, 15:21:56	0 Hz	0 W	1E3 mbar	2,1E2 mbar
2026-03-26, 15:21:58	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:22:00	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:22:02	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:22:04	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:22:06	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:22:08	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:22:10	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:22:12	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:22:14	0 Hz	0 W	1E3 mbar	2,1E2 mbar
2026-03-26, 15:22:16	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:22:18	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:22:20	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:22:22	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:22:24	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:22:26	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:22:28	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:22:30	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:22:32	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:22:34	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:22:36	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:22:38	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:22:40	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:22:42	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:22:44	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:22:46	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:22:48	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:22:50	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:22:52	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:22:54	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:22:56	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:22:58	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:23:00	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:23:02	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:23:04	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:23:06	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:23:08	0 Hz	0 W	1E3 mbar	2,1E2 mbar
2026-03-26, 15:23:10	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:23:12	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:23:14	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:23:16	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:23:18	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:23:20	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:23:22	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:23:24	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:23:26	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:23:28	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:23:30	0 Hz	0 W	1E3 mbar	2,1E2 mbar
2026-03-26, 15:23:32	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:23:34	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:23:36	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:23:38	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:23:40	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:23:42	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:23:44	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:23:46	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:23:48	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:23:50	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:23:52	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:23:54	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:23:56	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:23:58	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:24:00	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:24:02	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:24:04	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:24:06	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:24:08	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:24:10	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:24:12	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:24:14	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:24:16	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:24:18	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:24:20	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:24:22	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:24:24	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:24:26	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:24:28	0 Hz	0 W	1E3 mbar	2,1E2 mbar
2026-03-26, 15:24:30	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:24:32	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:24:34	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:24:36	0 Hz	0 W	1E3 mbar	2,1E2 mbar
2026-03-26, 15:24:38	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:24:40	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:24:42	0 Hz	0 W	1E3 mbar	2,2E2 mbar
2026-03-26, 15:24:44	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:24:46	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:24:48	0 Hz	0 W	1E3 mbar	2,1E2 mbar
2026-03-26, 15:24:50	0 Hz	0 W	1E3 mbar	2,1E2 mbar
2026-03-26, 15:24:52	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:24:54	0 Hz	0 W	1E3 mbar	2,1E2 mbar
2026-03-26, 15:24:56	0 Hz	0 W	1E3 mbar	2,2E2 mbar
2026-03-26, 15:24:58	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:25:00	0 Hz	0 W	1E3 mbar	2,1E2 mbar
2026-03-26, 15:25:02	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:25:04	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:25:06	0 Hz	0 W	1E3 mbar	2,1E2 mbar
2026-03-26, 15:25:08	0 Hz	0 W	1E3 mbar	2,1E2 mbar
2026-03-26, 15:25:10	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:25:12	0 Hz	0 W	1E3 mbar	2,1E2 mbar
2026-03-26, 15:25:14	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:25:16	0 Hz	0 W	1E3 mbar	2,1E2 mbar
2026-03-26, 15:25:18	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:25:20	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:25:22	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:25:24	0 Hz	0 W	1E3 mbar	2,1E2 mbar
2026-03-26, 15:25:26	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:25:28	0 Hz	0 W	1E3 mbar	2,1E2 mbar
2026-03-26, 15:25:30	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:25:32	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:25:34	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:25:36	0 Hz	0 W	1E3 mbar	2,1E2 mbar
2026-03-26, 15:25:38	0 Hz	0 W	1E3 mbar	2,1E2 mbar
2026-03-26, 15:25:40	0 Hz	0 W	1E3 mbar	2,1E2 mbar
2026-03-26, 15:25:42	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:25:44	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:25:46	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:25:48	0 Hz	0 W	1E3 mbar	2,1E2 mbar
2026-03-26, 15:25:50	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:25:52	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:25:54	0 Hz	0 W	1E3 mbar	2,1E2 mbar
2026-03-26, 15:25:56	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:25:58	0 Hz	0 W	1E3 mbar	2,1E2 mbar
2026-03-26, 15:26:00	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:26:02	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:26:04	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:26:06	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:26:08	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:26:10	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:26:12	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:26:14	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:26:16	0 Hz	0 W	1E3 mbar	2,1E2 mbar
2026-03-26, 15:26:18	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:26:20	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:26:22	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:26:24	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:26:26	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:26:28	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:26:30	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:26:32	0 Hz	0 W	1E3 mbar	2,1E2 mbar
2026-03-26, 15:26:34	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:26:36	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:26:38	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:26:40	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:26:42	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:26:44	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:26:46	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:26:48	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:26:50	0 Hz	0 W	1E3 mbar	2,1E2 mbar
2026-03-26, 15:26:52	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:26:54	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:26:56	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:26:58	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:27:00	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:27:02	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:27:04	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:27:06	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:27:08	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:27:10	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:27:12	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:27:14	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:27:16	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:27:18	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:27:20	0 Hz	0 W	1E3 mbar	2,1E2 mbar
2026-03-26, 15:27:22	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:27:24	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:27:26	0 Hz	0 W	1E3 mbar	2,1E2 mbar
2026-03-26, 15:27:28	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:27:30	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:27:32	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:27:34	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:27:36	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:27:38	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:27:40	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:27:42	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:27:44	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:27:46	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:27:48	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:27:50	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:27:52	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:27:54	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:27:56	0 Hz	0 W	1E3 mbar	2,1E2 mbar
2026-03-26, 15:27:58	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:28:00	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:28:02	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:28:04	0 Hz	0 W	1E3 mbar	2,1E2 mbar
2026-03-26, 15:28:06	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:28:08	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:28:10	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:28:12	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:28:14	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:28:16	0 Hz	0 W	1E3 mbar	2E2 mbar
2026-03-26, 15:28:18	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2026-03-26, 15:28:20	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2026-03-26, 15:28:22	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2026-03-26, 15:28:24	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2026-03-26, 15:28:26	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2026-03-26, 15:28:28	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2026-03-26, 15:28:30	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2026-03-26, 15:28:32	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2026-03-26, 15:28:34	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2026-03-26, 15:28:36	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2026-03-26, 15:28:38	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2026-03-26, 15:28:40	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2026-03-26, 15:28:42	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2026-03-26, 15:28:44	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2026-03-26, 15:28:46	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2026-03-26, 15:28:48	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2026-03-26, 15:28:50	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2026-03-26, 15:28:52	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2026-03-26, 15:28:54	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2026-03-26, 15:28:56	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2026-03-26, 15:28:58	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2026-03-26, 15:29:00	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2026-03-26, 15:29:02	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2026-03-26, 15:29:04	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2026-03-26, 15:29:06	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2026-03-26, 15:29:08	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2026-03-26, 15:29:10	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2026-03-26, 15:29:12	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2026-03-26, 15:29:14	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2026-03-26, 15:29:16	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2026-03-26, 15:29:18	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2026-03-26, 15:29:20	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2026-03-26, 15:29:22	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2026-03-26, 15:29:24	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2026-03-26, 15:29:26	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2026-03-26, 15:29:28	0 Hz	0 W	5,4E2 mbar	1,4E2 mbar
2026-03-26, 15:29:30	0 Hz	0 W	4,3E2 mbar	1,4E2 mbar
2026-03-26, 15:29:32	0 Hz	0 W	4,8E2 mbar	1,4E2 mbar
2026-03-26, 15:29:34	0 Hz	0 W	4,3E2 mbar	1,4E2 mbar
2026-03-26, 15:29:36	0 Hz	0 W	4,8E2 mbar	1,4E2 mbar
2026-03-26, 15:29:38	0 Hz	0 W	4,3E2 mbar	1,4E2 mbar
2026-03-26, 15:29:40	0 Hz	0 W	4,3E2 mbar	1,4E2 mbar
2026-03-26, 15:29:42	0 Hz	0 W	4,3E2 mbar	1,4E2 mbar
2026-03-26, 15:29:44	0 Hz	0 W	4,8E2 mbar	1,4E2 mbar
2026-03-26, 15:29:46	0 Hz	0 W	4,3E2 mbar	1,4E2 mbar
2026-03-26, 15:29:48	0 Hz	0 W	4,3E2 mbar	1,4E2 mbar
2026-03-26, 15:29:50	0 Hz	0 W	4,3E2 mbar	1,4E2 mbar
2026-03-26, 15:29:52	0 Hz	0 W	4,8E2 mbar	1,4E2 mbar
2026-03-26, 15:29:54	0 Hz	0 W	4,3E2 mbar	1,4E2 mbar
2026-03-26, 15:29:56	0 Hz	0 W	4,3E2 mbar	1,4E2 mbar
2026-03-26, 15:29:58	0 Hz	0 W	4,8E2 mbar	1,4E2 mbar
2026-03-26, 15:30:00	0 Hz	0 W	4,8E2 mbar	1,4E2 mbar
2026-03-26, 15:30:02	0 Hz	0 W	4,3E2 mbar	1,4E2 mbar
2026-03-26, 15:30:04	0 Hz	0 W	4,8E2 mbar	1,4E2 mbar
2026-03-26, 15:30:06	0 Hz	0 W	4,8E2 mbar	1,4E2 mbar
2026-03-26, 15:30:08	0 Hz	0 W	4,3E2 mbar	1,4E2 mbar
2026-03-26, 15:30:10	0 Hz	0 W	4,3E2 mbar	1,4E2 mbar
2026-03-26, 15:30:12	0 Hz	0 W	4,3E2 mbar	1,4E2 mbar
2026-03-26, 15:30:14	0 Hz	0 W	4,8E2 mbar	1,4E2 mbar
2026-03-26, 15:30:16	0 Hz	0 W	4,8E2 mbar	1,4E2 mbar
2026-03-26, 15:30:18	0 Hz	0 W	4,3E2 mbar	1,4E2 mbar
2026-03-26, 15:30:20	0 Hz	0 W	4,3E2 mbar	1,4E2 mbar
2026-03-26, 15:30:22	0 Hz	0 W	4,3E2 mbar	1,4E2 mbar
2026-03-26, 15:30:24	0 Hz	0 W	4,8E2 mbar	1,4E2 mbar
2026-03-26, 15:30:26	0 Hz	0 W	4,8E2 mbar	1,4E2 mbar
2026-03-26, 15:30:28	0 Hz	0 W	4,3E2 mbar	1,4E2 mbar
2026-03-26, 15:30:30	0 Hz	0 W	4,3E2 mbar	1,4E2 mbar
2026-03-26, 15:30:32	0 Hz	0 W	4,3E2 mbar	1,4E2 mbar
2026-03-26, 15:30:34	0 Hz	0 W	4,8E2 mbar	1,4E2 mbar
2026-03-26, 15:30:36	0 Hz	0 W	4,8E2 mbar	1,4E2 mbar
2026-03-26, 15:30:38	0 Hz	0 W	4,3E2 mbar	1,4E2 mbar
2026-03-26, 15:30:40	0 Hz	0 W	4,3E2 mbar	1,4E2 mbar
2026-03-26, 15:30:42	0 Hz	0 W	4,8E2 mbar	1,4E2 mbar
2026-03-26, 15:30:44	0 Hz	0 W	4,8E2 mbar	1,4E2 mbar
2026-03-26, 15:30:46	0 Hz	0 W	4,3E2 mbar	1,4E2 mbar
2026-03-26, 15:30:48	0 Hz	0 W	4,3E2 mbar	1,4E2 mbar
2026-03-26, 15:30:50	0 Hz	0 W	4,8E2 mbar	1,4E2 mbar
2026-03-26, 15:30:52	0 Hz	0 W	4,3E2 mbar	1,4E2 mbar
2026-03-26, 15:30:54	0 Hz	0 W	4,3E2 mbar	1,4E2 mbar
2026-03-26, 15:30:56	0 Hz	0 W	4,8E2 mbar	1,4E2 mbar
2026-03-26, 15:30:58	0 Hz	0 W	4,3E2 mbar	1,4E2 mbar
2026-03-26, 15:31:00	0 Hz	0 W	4,3E2 mbar	1,4E2 mbar
2026-03-26, 15:31:02	0 Hz	0 W	4,3E2 mbar	1,4E2 mbar
2026-03-26, 15:31:04	0 Hz	0 W	4,8E2 mbar	1,4E2 mbar
2026-03-26, 15:31:06	0 Hz	0 W	4,3E2 mbar	1,4E2 mbar
2026-03-26, 15:31:08	0 Hz	0 W	4,8E2 mbar	1,4E2 mbar
2026-03-26, 15:31:10	0 Hz	0 W	4,3E2 mbar	1,4E2 mbar
2026-03-26, 15:31:12	0 Hz	0 W	1E3 mbar	1,5E2 mbar
2026-03-26, 15:31:14	0 Hz	0 W	1E3 mbar	3E2 mbar
2026-03-26, 15:31:16	0 Hz	0 W	1E3 mbar	6,8E2 mbar
2026-03-26, 15:31:18	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-03-26, 15:31:20	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-03-26, 15:31:22	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-03-26, 15:31:24	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-03-26, 15:31:26	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-03-26, 15:31:28	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-03-26, 15:31:30	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-03-26, 15:31:32	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-03-26, 15:31:34	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-03-26, 15:31:36	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-03-26, 15:31:38	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-03-26, 15:31:40	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-03-26, 15:31:42	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-03-26, 15:31:44	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-03-26, 15:31:46	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-03-26, 15:31:48	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-03-26, 15:31:50	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-03-26, 15:31:52	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-03-26, 15:31:54	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-03-26, 15:31:56	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-03-26, 15:31:58	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-03-26, 15:32:00	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-03-26, 15:32:02	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-03-26, 15:32:04	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-03-26, 15:32:06	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-03-26, 15:32:08	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-03-26, 15:32:10	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-03-26, 15:32:12	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-03-26, 15:32:14	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-03-26, 15:32:16	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-03-26, 15:32:18	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-03-26, 15:32:20	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-03-26, 15:32:22	0 Hz	0 W	1E3 mbar	1E3 mbar
2026-03-26, 15:32:24	0 Hz	0 W	1E3 mbar	1E3 mbar
